location,name,freq,weighting,n_factors,date,ret
bra,accruals,monthly,vw_cap,6,2022-10-31,-0.0131509269172799
bra,accruals,monthly,vw_cap,6,2022-11-30,-0.0354892999361814
bra,accruals,monthly,vw_cap,6,2022-12-31,0.00287688297818831
bra,accruals,monthly,vw_cap,6,2023-01-31,-0.0305308416027181
bra,accruals,monthly,vw_cap,6,2023-02-28,-0.0123751835386927
bra,accruals,monthly,vw_cap,6,2023-03-31,0.0388144551487748
bra,accruals,monthly,vw_cap,6,2023-04-30,0.0375647678742251
bra,accruals,monthly,vw_cap,6,2023-05-31,0.0114168762150999
bra,accruals,monthly,vw_cap,6,2023-06-30,0.0296506297774086
bra,accruals,monthly,vw_cap,6,2023-07-31,0.0147973940565502
bra,accruals,monthly,vw_cap,6,2023-08-31,-0.0089450754137373
bra,accruals,monthly,vw_cap,6,2023-09-30,0.0140000542021829
bra,accruals,monthly,vw_cap,6,2023-10-31,0.0196212552390376
bra,accruals,monthly,vw_cap,6,2023-11-30,0.013516717424355
bra,accruals,monthly,vw_cap,6,2023-12-31,-0.0178122198979995
bra,debt_issuance,monthly,vw_cap,4,1998-05-31,0.0283488028936076
bra,debt_issuance,monthly,vw_cap,4,1998-06-30,-0.0392541689493883
bra,debt_issuance,monthly,vw_cap,2,1998-07-31,0.0173353022557409
bra,debt_issuance,monthly,vw_cap,2,1998-08-31,-0.0754710079993208
bra,debt_issuance,monthly,vw_cap,2,1998-09-30,-0.202364429353639
bra,debt_issuance,monthly,vw_cap,2,1998-10-31,0.174310289116728
bra,debt_issuance,monthly,vw_cap,2,1998-11-30,0.172612278394522
bra,debt_issuance,monthly,vw_cap,4,1998-12-31,-0.0248572266191765
bra,debt_issuance,monthly,vw_cap,4,1999-01-31,0.0381672570601735
bra,debt_issuance,monthly,vw_cap,4,1999-05-31,0.0154699545495451
bra,debt_issuance,monthly,vw_cap,4,1999-06-30,0.110427214399281
bra,debt_issuance,monthly,vw_cap,4,1999-07-31,0.0197679584285389
bra,debt_issuance,monthly,vw_cap,4,1999-08-31,0.0725475909414589
bra,debt_issuance,monthly,vw_cap,4,1999-09-30,-0.106593594111697
bra,debt_issuance,monthly,vw_cap,4,1999-10-31,-0.102295333723572
bra,debt_issuance,monthly,vw_cap,2,1999-11-30,0.137215720253231
bra,debt_issuance,monthly,vw_cap,4,1999-12-31,-0.0350084267097731
bra,debt_issuance,monthly,vw_cap,4,2000-01-31,-0.163955680415516
bra,debt_issuance,monthly,vw_cap,4,2000-02-29,-0.018554320692165
bra,debt_issuance,monthly,vw_cap,4,2000-03-31,0.0978802260620803
bra,debt_issuance,monthly,vw_cap,4,2000-04-30,-0.0129868618449755
bra,debt_issuance,monthly,vw_cap,4,2000-05-31,-0.0555196917201349
bra,debt_issuance,monthly,vw_cap,4,2000-06-30,0.0198909739739563
bra,debt_issuance,monthly,vw_cap,4,2000-07-31,0.0144480868789504
bra,debt_issuance,monthly,vw_cap,4,2000-08-31,-0.065148797362501
bra,debt_issuance,monthly,vw_cap,4,2000-09-30,0.0427986042546512
bra,debt_issuance,monthly,vw_cap,4,2000-10-31,0.00252160399322719
bra,debt_issuance,monthly,vw_cap,4,2000-11-30,-0.0063708107694571
