location,name,freq,weighting,n_countries,date,ret
world_ex_us,momentum,monthly,vw,41,2001-05-31,0.0398478123972985
world_ex_us,momentum,monthly,vw,41,2001-06-30,0.0441428726989566
world_ex_us,momentum,monthly,vw,41,2001-07-31,0.0125029660107784
world_ex_us,momentum,monthly,vw,42,2001-08-31,0.0554586803979821
world_ex_us,momentum,monthly,vw,42,2001-09-30,0.0486763468331468
world_ex_us,momentum,monthly,vw,43,2001-10-31,-0.0358463682519741
world_ex_us,momentum,monthly,vw,43,2001-11-30,-0.0891381770620209
world_ex_us,momentum,monthly,vw,42,2001-12-31,0.0112145555355334
world_ex_us,momentum,monthly,vw,42,2002-01-31,0.0188511756477719
world_ex_us,momentum,monthly,vw,42,2002-02-28,0.0124028309671149
world_ex_us,momentum,monthly,vw,41,2002-03-31,-0.0267197231732234
world_ex_us,momentum,monthly,vw,41,2002-04-30,0.0271051958073402
world_ex_us,momentum,monthly,vw,41,2002-05-31,0.00975265914785041
world_ex_us,momentum,monthly,vw,40,2002-06-30,0.0344266856113572
world_ex_us,momentum,monthly,vw,41,2002-07-31,0.0238842217427633
world_ex_us,momentum,monthly,vw,42,2002-08-31,0.00636089304959685
world_ex_us,momentum,monthly,vw,42,2002-09-30,0.0601823704215534
world_ex_us,momentum,monthly,vw,41,2002-10-31,-0.0533051934378822
world_ex_us,momentum,monthly,vw,41,2002-11-30,-0.0677172369936717
world_ex_us,momentum,monthly,vw,41,2002-12-31,0.051134116077685
world_ex_us,momentum,monthly,vw,41,2003-01-31,0.00353712469405209
world_ex_us,momentum,monthly,vw,43,2003-02-28,0.0279123944244189
world_ex_us,momentum,monthly,vw,43,2003-03-31,0.0227289827391862
world_ex_us,momentum,monthly,vw,42,2003-04-30,-0.0419172521930916
world_ex_us,momentum,monthly,vw,41,2003-05-31,-0.00976540943303307
world_ex_us,momentum,monthly,vw,41,2003-06-30,-0.0243706210815546
world_ex_us,momentum,monthly,vw,42,2003-07-31,-0.00134250791599881
world_ex_us,momentum,monthly,vw,42,2003-08-31,-0.0066676843403877
world_ex_us,momentum,monthly,vw,42,2003-09-30,-0.00625575272625292
world_ex_us,momentum,monthly,vw,43,2003-10-31,0.0395026517672516
world_ex_us,momentum,monthly,vw,43,2003-11-30,-0.0139220459525323
world_ex_us,momentum,monthly,vw,42,2003-12-31,-0.0031783415788509
world_ex_us,momentum,monthly,vw,42,2004-01-31,0.00703631450132349
world_ex_us,momentum,monthly,vw,43,2004-02-29,0.00334472613117085
world_ex_us,momentum,monthly,vw,43,2004-03-31,0.00638332185519826
world_ex_us,momentum,monthly,vw,42,2004-04-30,-0.00886437499270002
world_ex_us,momentum,monthly,vw,43,2004-05-31,-0.00495993542781224
world_ex_us,momentum,monthly,vw,43,2004-06-30,0.010426191630072
world_ex_us,momentum,monthly,vw,41,2004-07-31,0.00600732748403941
world_ex_us,momentum,monthly,vw,42,2004-08-31,-0.00205066730215636
world_ex_us,momentum,monthly,vw,42,2004-09-30,0.0134434672356618
world_ex_us,momentum,monthly,vw,43,2004-10-31,-0.000809000826204982
world_ex_us,momentum,monthly,vw,43,2004-11-30,0.00272237079396535
world_ex_us,momentum,monthly,vw,41,2004-12-31,0.00120997978130315
world_ex_us,momentum,monthly,vw,41,2005-01-31,0.00409625397198585
world_ex_us,momentum,monthly,vw,45,2005-02-28,0.00204606528379448
world_ex_us,momentum,monthly,vw,45,2005-03-31,0.000368493329692143
world_ex_us,momentum,monthly,vw,46,2005-04-30,0.00544857947679651
world_ex_us,momentum,monthly,vw,47,2005-05-31,-0.00727601491196682
world_ex_us,momentum,monthly,vw,45,2005-06-30,0.00964947952077003
world_ex_us,momentum,monthly,vw,44,2005-07-31,0.00521298747688682
world_ex_us,momentum,monthly,vw,45,2005-08-31,0.018628283078236
world_ex_us,momentum,monthly,vw,46,2005-09-30,0.0233226933063802
world_ex_us,momentum,monthly,vw,46,2005-10-31,-0.00799466644237441
world_ex_us,momentum,monthly,vw,46,2005-11-30,0.00828503820282186
world_ex_us,momentum,monthly,vw,46,2005-12-31,0.00918060907220611
world_ex_us,momentum,monthly,vw,47,2006-01-31,0.0220821699402423
world_ex_us,momentum,monthly,vw,47,2006-02-28,-0.00536553907640586
